date,social_financing,sf_12m_sum,credit_impulse,ma6,signal
2017-05-31,11780.35896,130327.247479,7.053471373654818,4.239277328968077,信贷扩张
2017-06-30,14474.35431,131660.494279,8.236158092428791,3.884641427666104,信贷扩张
2017-06-30,14474.35431,131660.494279,8.236158092428791,3.884641427666104,信贷扩张
2017-07-31,9151.560003,136261.831125,13.266819210182067,6.260605515278496,信贷扩张
2017-07-31,9151.560003,136261.831125,13.266819210182067,6.260605515278496,信贷扩张
2017-08-31,11466.15297,139758.787889,15.968049468813007,8.321582121638285,信贷扩张
2017-08-31,11466.15297,139758.787889,15.968049468813009,8.321582121638285,信贷扩张
2017-09-30,11884.84372,139015.567959,13.273371303055724,10.604345548821495,信贷扩张
2017-09-30,11884.84372,139015.567959,13.273371303055725,10.604345548821497,信贷扩张
2017-10-31,6635.249415,139640.486773,13.37924433735136,11.862852297580964,信贷扩张
2017-10-31,6635.249415,139640.486773,13.37924433735136,11.862852297580963,信贷扩张
2017-11-30,11428.46132,142605.686048,16.173193092738302,13.38280591742821,信贷扩张
2017-11-30,11428.46132,142605.686048,16.173193092738302,13.38280591742821,信贷扩张
2017-12-31,5769.490608,138432.388676,11.30478035932876,13.894242961911537,信贷扩张
2017-12-31,5769.490608,138432.388676,11.30478035932876,13.894242961911536,信贷扩张
2018-01-31,26850.25463,142149.788526,16.38728736819546,14.414320988247104,信贷扩张
2018-01-31,26850.25463,142149.788526,16.38728736819546,14.414320988247104,信贷扩张
2018-02-28,10199.48584,142031.956116,14.222237751872036,14.12335236875694,信贷扩张
2018-02-28,10199.48584,142031.956116,14.222237751872036,14.12335236875694,信贷扩张
2018-03-31,11424.56835,141870.468186,15.569675230622648,14.506069690018094,信贷扩张
2018-03-31,11424.56835,141870.468186,15.569675230622648,14.506069690018094,信贷扩张
2018-04-30,10987.35054,142052.130666,11.046628155966244,14.117300326453908,信贷扩张
2018-04-30,10987.35054,142052.130666,11.046628155966243,14.117300326453908,信贷扩张
2018-05-31,11396.18357,141667.955276,8.701716652787717,12.872054253128807,信贷扩张
2018-05-31,11396.18357,141667.955276,8.701716652787717,12.872054253128809,信贷扩张
2018-06-30,16787.34188,143980.942846,9.35774138967751,12.547547758186935,信贷扩张
2018-06-30,16787.34188,143980.942846,9.35774138967751,12.547547758186935,信贷扩张
2018-07-31,12861.15205,147690.534893,8.387311159436761,11.214218390060486,信贷扩张
2018-07-31,12861.15205,147690.534893,8.387311159436761,11.214218390060486,信贷扩张
2018-08-31,13139.99871,149364.380633,6.872979430552162,9.98934200317384,信贷扩张
2018-08-31,13139.99871,149364.380633,6.872979430552162,9.98934200317384,信贷扩张
2018-09-30,14340.99924,151820.536153,9.211175684853211,8.929592078878935,信贷扩张
2018-09-30,14340.99924,151820.536153,9.211175684853213,8.929592078878935,信贷扩张
2018-10-31,7141.282611,152326.569349,9.084816924637718,8.60262354032418,信贷扩张
2018-10-31,7141.282611,152326.569349,9.084816924637718,8.60262354032418,信贷扩张
2018-11-30,12302.32894,153200.436969,7.429402862263079,8.390571241903407,信贷扩张
2018-11-30,12302.32894,153200.436969,7.429402862263079,8.390571241903407,信贷扩张
2018-12-31,9281.464384,156712.410745,13.20501816362083,9.031784037560627,信贷扩张
2018-12-31,9281.464384,156712.410745,13.20501816362083,9.031784037560628,信贷扩张
2019-01-31,35668.35953,165530.515645,16.447950687400102,10.375223958887851,信贷扩张
2019-01-31,35668.35953,165530.515645,16.447950687400102,10.375223958887853,信贷扩张
2019-02-28,7640.641862,162971.671667,14.742960755886635,11.686887513110262,信贷扩张
2019-02-28,7640.641862,162971.671667,14.742960755886635,11.686887513110262,信贷扩张
2019-03-31,19584.39553,171131.498847,20.62517381886495,13.589220535445554,信贷扩张
2019-03-31,19584.39553,171131.498847,20.62517381886495,13.589220535445554,信贷扩张
2019-04-30,8732.827504,168876.97581099998,18.88380344542093,15.222384955576088,信贷扩张
2019-04-30,8732.827504,168876.97581099998,18.88380344542093,15.222384955576088,信贷扩张
2019-05-31,11855.45876,169336.251001,19.530384038575367,17.239215151628134,信贷扩张
2019-05-31,11855.45876,169336.251001,19.530384038575367,17.239215151628134,信贷扩张
2019-06-30,16736.89983,169285.808951,17.57514960300388,17.96757039152531,信贷扩张
2019-06-30,16736.89983,169285.808951,17.57514960300388,17.96757039152531,信贷扩张
2019-07-31,8086.072901,164510.729802,11.388810339935462,17.12438033361454,信贷扩张
2019-07-31,8086.072901,164510.729802,11.388810339935462,17.12438033361454,信贷扩张
2019-08-31,13045.18199,164415.913082,10.077056112851167,16.346729559775294,信贷扩张
2019-08-31,13045.18199,164415.913082,10.077056112851167,16.346729559775294,信贷扩张
2019-09-30,17612.4407,167687.35454200002,10.451035670833054,14.651039868436643,信贷扩张
2019-09-30,17612.4407,167687.35454200002,10.451035670833054,14.651039868436644,信贷扩张
2019-10-31,5469.638534,166015.710465,8.986706110761556,13.001523645993416,信贷扩张
2019-10-31,5469.638534,166015.710465,8.986706110761556,13.001523645993416,信贷扩张
2019-11-30,13633.17324,167346.554765,9.233732015309105,11.285414975449036,信贷扩张
2019-11-30,13633.17324,167346.554765,9.233732015309103,11.285414975449036,信贷扩张
2019-12-31,10769.81577,168834.906151,7.73550438562618,9.645474105886088,信贷扩张
2019-12-31,10769.81577,168834.906151,7.73550438562618,9.645474105886088,信贷扩张
2020-01-31,34924.0,168090.546621,1.5465613491413732,8.005099274087073,信贷扩张
2020-01-31,34924.0,168090.546621,1.5465613491413732,8.005099274087073,信贷扩张
