日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
2026-08-10,000906,中证800,CSI 800,002422,科伦药业,Sichuan Kelun Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002423,中粮资本,"COFCO CAPITAL HOLDINGS CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002429,兆驰股份,Shenzhen MTC Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002430,杭氧股份,"HANGZHOU OXYGEN PLANT GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002432,九安医疗,Andon Health Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002436,兴森科技,Shenzhen Fastprint Circuit Tech Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002444,巨星科技,Hangzhou Great Star Industrial Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002460,赣锋锂业,Ganfeng Lithium Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002461,珠江啤酒,Guangzhou Zhujiang Brewery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002463,沪电股份,Wus Printed Circuit (Kunshan) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002465,海格通信,Guangzhou Haige Communications Group Incorporated Company,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002466,天齐锂业,"Tianqi Lithium Industries, Inc.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002472,双环传动,Zhejiang Shuanghuan Driveline Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002475,立讯精密,"Luxshare Precision Industry Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002487,大金重工,Dajin Heavy Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002493,荣盛石化,Rongsheng Petro Chemical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002500,山西证券,Shanxi Securities Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002508,老板电器,Hangzhou Robam Appliances Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002517,恺英网络,Taiya Shoes Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002532,天山铝业,"TIANSHAN ALUMINUM GROUP CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,002558,巨人网络,"Giant Network Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
