date,northbound_net_buy_100m
2018-06-07,41.4189
2018-06-08,1.4284
2018-06-11,42.616800000000005
2018-06-12,24.921100000000003
2018-06-13,14.1626
2018-06-14,28.0602
2018-06-15,26.2838
2018-06-19,-21.1157
2018-06-20,7.5352
2018-06-21,-9.1094
2018-06-22,1.11570000000001
2018-06-25,-37.794
2018-06-26,23.6324
2018-06-27,-12.5065
2018-06-28,8.05000000000001
2018-07-03,3.43259999999999
2018-07-04,-14.3282
2018-07-05,22.655500000000004
2018-07-06,43.8544
2018-07-09,34.3163
2018-07-10,6.0923
2018-07-11,-2.5362
2018-07-12,17.924400000000002
2018-07-13,10.886400000000002
2018-07-16,-0.9932
2018-07-17,-6.3304
2018-07-18,-1.0469000000000102
2018-07-19,24.3952
2018-07-20,21.36
2018-07-23,-1.3849
2018-07-24,26.3474
2018-07-25,16.1758
2018-07-26,3.9327
2018-07-27,25.567
2018-07-30,23.5058
2018-07-31,30.9291
2018-08-01,9.3866
2018-08-02,3.62910000000001
2018-08-03,5.10570000000001
2018-08-06,30.6312
2018-08-07,29.8501
2018-08-08,16.5803
2018-08-09,52.145
2018-08-10,0.5425
2018-08-13,-5.7795000000000005
2018-08-14,-13.3972
2018-08-15,-15.271400000000002
2018-08-16,21.719
2018-08-17,3.6753
2018-08-20,56.56100000000001
2018-08-21,28.1475
2018-08-22,20.0322
2018-08-23,12.599200000000002
2018-08-24,-1.7687
2018-08-27,21.6764
2018-08-28,14.3072
2018-08-29,20.3195
2018-08-30,6.16360000000001
2018-08-31,37.6719
2018-09-03,2.7077
2018-09-04,13.5113
2018-09-05,-31.0886
2018-09-06,8.86290000000001
2018-09-07,-2.5409
2018-09-10,-6.0471
2018-09-11,-0.4203
2018-09-12,-10.453499999999998
2018-09-13,27.3993
2018-09-14,28.0742
2018-09-17,6.9134
2018-09-18,19.171
2018-09-19,7.76179999999999
2018-09-20,48.0023
2018-09-26,18.7773
2018-09-27,28.894
2018-09-28,16.262999999999998
2018-10-08,-97.1611
2018-10-09,-30.7984
2018-10-10,-16.1204
2018-10-11,-36.3236
2018-10-12,10.7254
2018-10-15,-11.0467
2018-10-18,-6.33949999999999
2018-10-19,43.2254
2018-10-22,-7.6201
2018-10-23,-3.5304999999999898
2018-10-24,14.7065
2018-10-25,-36.0184
2018-10-26,-16.651300000000003
2018-10-29,27.8841
2018-10-30,2.29500000000001
2018-10-31,57.4869
2018-11-01,84.82469999999999
2018-11-02,173.84669999999997
2018-11-05,9.38369999999999
2018-11-06,-17.953
2018-11-07,20.2859
2018-11-08,38.5726
2018-11-09,0.9247
2018-11-12,11.0318
2018-11-13,23.96
2018-11-14,-8.96360000000001
2018-11-15,25.3776
2018-11-16,19.9578
2018-11-19,16.4212
2018-11-20,-30.6416
2018-11-21,9.5104
2018-11-22,-6.7549
2018-11-23,-10.512
2018-11-26,23.9296
2018-11-27,1.4538
2018-11-28,25.3917
2018-11-29,10.7326
2018-11-30,48.346
2018-12-03,121.4136
2018-12-04,42.9169
2018-12-05,8.9071
2018-12-06,-42.295100000000005
2018-12-07,-5.1223
2018-12-10,-17.7016
2018-12-11,3.0050999999999903
2018-12-12,12.6574
2018-12-13,66.1944
2018-12-14,-17.075
2018-12-17,12.586099999999998
2018-12-18,-30.1215
2018-12-19,-7.847899999999999
2018-12-20,-11.7963
2018-12-21,-1.929
2018-12-27,5.3359000000000005
2018-12-28,22.2967
2019-01-02,3.5386999999999897
2019-01-03,7.8012
2019-01-04,2.3686000000000003
2019-01-07,16.4635
2019-01-08,14.1605
2019-01-09,67.63119999999999
2019-01-10,16.3921
2019-01-11,42.6643
2019-01-14,-16.8417
2019-01-15,51.8028
2019-01-16,25.273200000000003
2019-01-17,25.856
2019-01-18,84.2101
2019-01-21,32.236999999999995
2019-01-22,-13.9297
2019-01-23,18.1194
2019-01-24,24.4563
2019-01-25,34.9324
2019-01-28,49.4045
2019-01-29,23.7598
2019-01-30,9.9416
2019-01-31,86.6391
2019-02-01,55.465900000000005
2019-02-11,45.6904
2019-02-12,53.2622
2019-02-13,86.0133
2019-02-14,56.8098
2019-02-15,21.9383
2019-02-18,47.8807
2019-02-19,16.1802
2019-02-20,47.5817
2019-02-21,23.1807
2019-02-22,59.9899
2019-02-25,-7.16049999999999
2019-02-26,19.9278
2019-02-27,48.755500000000005
2019-02-28,28.3993
2019-03-01,30.2042
2019-03-04,35.3956
2019-03-05,41.5746
2019-03-06,-8.34600000000002
2019-03-07,-39.6991
2019-03-08,-12.277
2019-03-11,-19.8666
2019-03-12,9.9724
2019-03-13,-23.4714
2019-03-14,23.328000000000003
2019-03-15,22.8852
2019-03-18,33.8769
2019-03-19,-15.988599999999998
2019-03-20,-1.0559
2019-03-21,-11.9487
2019-03-22,-13.5718
2019-03-25,-107.7445
2019-03-26,9.9557
2019-03-27,-4.961899999999989
2019-03-28,-15.6303
2019-03-29,110.9315
2019-04-01,31.1818
2019-04-02,-1.6143
2019-04-03,29.0534
2019-04-04,-14.5222
2019-04-08,-44.4076
2019-04-09,-4.02620000000001
2019-04-10,-33.522
2019-04-11,-41.9867
2019-04-12,-5.0723
2019-04-15,-22.7432
2019-04-16,34.3249
2019-04-17,-18.7757
2019-04-23,-64.977
2019-04-24,-35.2516
2019-04-25,-17.0638
2019-04-26,-10.425999999999998
2019-04-29,45.3273
2019-04-30,-5.46890000000001
2019-05-06,-56.2353
2019-05-07,-11.4174
2019-05-08,-49.6337
2019-05-09,-56.8095
2019-05-14,-108.9967
2019-05-15,9.07449999999999
2019-05-16,-33.9697
2019-05-17,-56.1104
2019-05-20,-24.2644
2019-05-21,-36.8439
2019-05-22,-44.9386
2019-05-23,-41.1407
2019-05-24,-16.1754
2019-05-27,-19.0502
2019-05-28,55.6686
2019-05-29,-32.5141
2019-05-30,-7.882699999999989
2019-05-31,-5.4977
2019-06-03,44.0698
2019-06-04,10.6425
2019-06-05,30.5782
2019-06-06,10.7856
2019-06-10,78.9727
2019-06-11,69.4596
2019-06-12,12.8601
2019-06-13,11.7104
2019-06-14,-16.3821
2019-06-17,5.0730999999999895
2019-06-18,15.921600000000002
2019-06-19,49.2374
2019-06-20,55.6491
2019-06-21,73.305
2019-06-24,-19.111
2019-06-25,-32.9954
2019-06-26,-12.1347
2019-06-27,38.3888
2019-07-02,11.2181
2019-07-03,-4.89529999999999
2019-07-04,9.7682
2019-07-05,4.2771
2019-07-08,-36.059
2019-07-09,-26.198
2019-07-10,-16.374100000000002
2019-07-11,24.3587
2019-07-12,14.5927
2019-07-15,-14.41
2019-07-16,10.092
