date,index_close,pe_ttm_index,pe_ttm_median,pb_index,pb_median
2011-04-27,,16.24,16.24,2.49,3.69
2011-04-28,,15.88,15.88,2.43,3.58
2011-04-29,,15.47,15.47,2.4,3.57
2011-05-03,,15.47,15.47,2.41,3.65
2011-05-04,,15.11,15.11,2.35,3.58
2011-05-05,,15.15,15.15,2.35,3.58
2011-05-06,,15.09,15.09,2.35,3.6
2011-05-09,,15.12,15.12,2.35,3.64
2011-05-10,,15.21,15.21,2.37,3.63
2011-05-11,,15.18,15.18,2.36,3.65
2011-05-12,,14.98,14.98,2.33,3.58
2011-05-13,,15.11,15.11,2.35,3.6
2011-05-16,,14.99,14.99,2.33,3.59
2011-05-17,,15.03,15.03,2.34,3.59
2011-05-18,,15.13,15.13,2.36,3.61
2011-05-19,,15.07,15.07,2.35,3.58
2011-05-20,,15.08,15.08,2.34,3.56
2011-05-23,,14.64,14.64,2.28,3.43
2011-05-24,,14.6,14.6,2.27,3.44
2011-05-25,,14.46,14.46,2.25,3.4
2011-05-26,,14.44,14.44,2.25,3.37
2011-05-27,,14.33,14.33,2.23,3.28
2011-05-30,,14.34,14.34,2.23,3.25
2011-05-31,,14.52,14.52,2.26,3.32
2011-06-01,,14.52,14.52,2.27,3.35
2011-06-02,,14.31,14.31,2.23,3.32
2011-06-03,,14.43,14.43,2.25,3.35
2011-06-07,,14.51,14.51,2.27,3.36
2011-06-08,,14.54,14.54,2.27,3.37
2011-06-09,,14.31,14.31,2.24,3.32
2011-06-10,,14.32,14.32,2.25,3.31
2011-06-13,,14.3,14.3,2.25,3.29
2011-06-14,,14.45,14.45,2.27,3.34
2011-06-15,,14.32,14.32,2.27,3.31
2011-06-16,,14.12,14.12,2.24,3.24
2011-06-17,,14.03,14.03,2.23,3.2
2011-06-20,,13.93,13.93,2.21,3.16
2011-06-21,,14.07,14.07,2.24,3.21
2011-06-22,,14.09,14.09,2.24,3.2
2011-06-23,,14.31,14.31,2.28,3.26
2011-06-24,,14.59,14.59,2.34,3.35
2011-06-27,,14.64,14.64,2.35,3.36
2011-06-28,,14.65,14.65,2.35,3.37
2011-06-29,,14.49,14.49,2.32,3.32
2011-06-30,,14.67,14.67,2.35,3.38
2011-07-01,,14.83,14.83,2.37,3.48
2011-07-04,,15.11,15.11,2.42,3.56
2011-07-05,,15.11,15.11,2.42,3.59
2011-07-06,,15.07,15.07,2.41,3.59
2011-07-07,,14.98,14.98,2.4,3.56
2011-07-08,,15.0,15.0,2.4,3.55
2011-07-11,,15.01,15.01,2.41,3.57
2011-07-12,,14.76,14.76,2.37,3.52
2011-07-13,,14.99,14.99,2.4,3.6
2011-07-14,,15.06,15.06,2.41,3.64
2011-07-15,,15.11,15.11,2.42,3.67
2011-07-18,,15.09,15.09,2.41,3.68
2011-07-19,,14.98,14.98,2.39,3.64
2011-07-20,,14.97,14.97,2.39,3.65
2011-07-21,,14.83,14.83,2.37,3.6
